date,home_team,away_team,home_score,away_score
2024-10-20,Los Angeles Lakers,Golden State Warriors,112,108
2024-10-21,Golden State Warriors,Sacramento Kings,118,115
2024-10-22,Phoenix Suns,Los Angeles Lakers,115,107
2024-10-24,Phoenix Suns,Denver Nuggets,104,110
2024-10-25,Los Angeles Lakers,Los Angeles Clippers,118,109
2024-10-28,Sacramento Kings,Los Angeles Lakers,120,114
2024-10-29,Los Angeles Clippers,Golden State Warriors,105,111
2024-11-01,Los Angeles Lakers,Denver Nuggets,110,116
2024-11-02,Denver Nuggets,Dallas Mavericks,120,118
2024-11-03,Los Angeles Lakers,Phoenix Suns,121,117
2024-11-05,Boston Celtics,Phoenix Suns,117,111
2024-11-06,Dallas Mavericks,Los Angeles Lakers,119,112
2024-11-08,Los Angeles Lakers,Boston Celtics,113,108

